q_true,b_true,n,bins,method,repetitions,valid,failures,failure_rate,at_bound,mean_occupied_bins,mean_q_hat,median_q_hat,bias_q,mcse_bias_q,sd_q,rmse_q,mcse_rmse_q,mean_b_hat,bias_b,mcse_bias_b,sd_b,rmse_b,mcse_rmse_b,mean_seconds
1.5,2.0,1000,10,pdf,20,20,0,0.0,0,10.0,1.4963421751807011,1.4846026492927358,-0.0036578248192987383,0.013139933193436839,0.058763567680661336,0.0573923228719692,0.007138568320401536,1.9966807060311393,-0.0033192939688604594,0.056382158480569995,0.25214867816144154,0.24578654522997356,0.03295002990010113,0.05167808885005343
1.5,2.0,1000,10,qlog,20,20,0,0.0,0,10.0,1.8660000000000003,1.8599999999999999,0.366,0.021913706357341495,0.09800107410796977,0.3782591704109762,0.02164191867507624,1.7746860053388822,-0.22531399466111796,0.043949620973065595,0.19654868016225024,0.2957468692649116,0.034442109591498904,0.0294346515999905
1.5,2.0,1000,20,pdf,20,20,0,0.0,0,20.0,1.513251969451632,1.5061109813996052,0.013251969451632017,0.009878941063477795,0.04417996752730083,0.04505430887855984,0.008523298274312406,2.0491801012986572,0.04918010129865724,0.0478310826789781,0.2139071046152156,0.21421278976374808,0.035919261082406645,0.05010518315000354
1.5,2.0,1000,20,qlog,20,20,0,0.0,0,20.0,1.581,1.59,0.08100000000000007,0.011095281121174666,0.04961960563283327,0.09433981132056612,0.009597302745468272,1.7564898020577506,-0.24351019794224954,0.043881879725870335,0.19624573209503182,0.309651391889513,0.02950021528743637,0.0320981437999535
1.5,2.0,1000,30,pdf,20,20,0,0.0,0,29.65,1.514758986774917,1.5090336459776088,0.01475898677491686,0.008451838890875463,0.03779777258974793,0.03968709768591243,0.007537299960172141,2.0485920219961953,0.04859202199619585,0.043885827363350796,0.1962633864665455,0.19736903411029186,0.048370730358244275,0.050456910900038565
1.5,2.0,1000,30,qlog,20,20,0,0.0,0,29.65,1.536,1.54,0.03600000000000003,0.007048702754856093,0.03152275702609652,0.04732863826479697,0.006966622896817816,1.7860844726992127,-0.21391552730078728,0.04009530948844411,0.17931167519010668,0.27623340825628256,0.021588894273785585,0.03328526140003305
1.5,2.0,1000,40,pdf,20,20,0,0.0,0,39.4,1.514541239747471,1.514581140213163,0.014541239747470746,0.009026198437944392,0.04036638657129216,0.04194544742847869,0.007497696959151014,2.0506823189622283,0.050682318962227926,0.04560697162943782,0.20396057762265463,0.20515510916949545,0.037854994124211214,0.05191289939998569
1.5,2.0,1000,40,qlog,20,20,0,0.0,0,39.4,1.5239999999999998,1.52,0.02400000000000002,0.008026272648719272,0.03589458249696716,0.04242640687119289,0.006582805886043838,1.788117526439096,-0.21188247356090395,0.040355525740692386,0.18047539764786147,0.2753851544666727,0.03023783255299345,0.036410465450012454
1.5,2.0,1000,50,pdf,20,20,0,0.0,0,48.9,1.5161129054471711,1.5107777268710425,0.016112905447171165,0.008485633844458785,0.03794890821676544,0.0403452521996299,0.007270267820440699,2.056014148075461,0.05601414807546127,0.04513160189636777,0.2018346595474735,0.20454327925779428,0.038701918090348064,0.05765241500007505
1.5,2.0,1000,50,qlog,20,20,0,0.0,0,48.9,1.5269999999999997,1.52,0.027000000000000024,0.007715329920973813,0.034504004344271054,0.043127717305695694,0.006629281139086853,1.7772188312559174,-0.22278116874408288,0.041901019714713224,0.18738705681731524,0.288079264711125,0.030254080804676935,0.035301345800030505
