q_true,b_true,n,rep,seed,bins,method,q_hat,b_hat,success,at_bound,occupied_bins,max_abs_x,seconds,message
1.5,2.0,1000,0,20260926-0-0-0-0,150,pdf,1.5209834419223651,2.1128562006414784,True,False,141,7.100603614202807,0.06987924100030796,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,0,20260926-0-0-0-0,150,qlog,1.48,1.4752038046638583,True,False,141,7.100603614202807,0.037052218000098947,barrido q-log; q por deviance de bins
1.5,2.0,1000,0,20260926-0-0-0-0,160,pdf,1.5207739633866728,2.11452467007448,True,False,148,7.100603614202807,0.06714436799984469,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,0,20260926-0-0-0-0,160,qlog,1.52,1.6272494684463097,True,False,148,7.100603614202807,0.03651591300013024,barrido q-log; q por deviance de bins
1.5,2.0,1000,0,20260926-0-0-0-0,170,pdf,1.5170453155188814,2.098977328559525,True,False,154,7.100603614202807,0.05678685000020778,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,0,20260926-0-0-0-0,170,qlog,1.5,1.3729907036811562,True,False,154,7.100603614202807,0.0545764240000608,barrido q-log; q por deviance de bins
1.5,2.0,1000,0,20260926-0-0-0-0,180,pdf,1.520977562492788,2.110585299135472,True,False,166,7.100603614202807,0.0717443439998533,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,0,20260926-0-0-0-0,180,qlog,1.48,1.4171851567739087,True,False,166,7.100603614202807,0.05521549600007347,barrido q-log; q por deviance de bins
1.5,2.0,1000,0,20260926-0-0-0-0,190,pdf,1.5203972173657003,2.1088650150692145,True,False,173,7.100603614202807,0.07970782399979726,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,0,20260926-0-0-0-0,190,qlog,1.48,1.2985942077952204,True,False,173,7.100603614202807,0.052226858000267384,barrido q-log; q por deviance de bins
1.5,2.0,1000,0,20260926-0-0-0-0,200,pdf,1.5237956286159309,2.122211203499345,True,False,181,7.100603614202807,0.07950888100003795,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,0,20260926-0-0-0-0,200,qlog,1.5,1.395126182056565,True,False,181,7.100603614202807,0.03454150599964123,barrido q-log; q por deviance de bins
1.5,2.0,1000,1,20260926-0-0-0-1,10,pdf,1.5747455349288266,2.55699970325011,True,False,10,7.032960771322827,0.04440765300023486,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.5,2.0,1000,1,20260926-0-0-0-1,10,qlog,1.8599999999999999,2.1190030712294172,True,False,10,7.032960771322827,0.025289911999607284,barrido q-log; q por deviance de bins
1.5,2.0,1000,1,20260926-0-0-0-1,20,pdf,1.579349359730794,2.540330521672642,True,False,20,7.032960771322827,0.03425189199970191,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,1,20260926-0-0-0-1,20,qlog,1.62,2.1245738209584406,True,False,20,7.032960771322827,0.04344365099996139,barrido q-log; q por deviance de bins
1.5,2.0,1000,1,20260926-0-0-0-1,30,pdf,1.5883564571130273,2.6049037328241984,True,False,30,7.032960771322827,0.053573395000057644,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,1,20260926-0-0-0-1,30,qlog,1.6,2.180772565230109,True,False,30,7.032960771322827,0.03185665599994536,barrido q-log; q por deviance de bins
1.5,2.0,1000,1,20260926-0-0-0-1,40,pdf,1.5748181925942315,2.5412693187914273,True,False,40,7.032960771322827,0.038763121999636496,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,1,20260926-0-0-0-1,40,qlog,1.58,2.14970396097103,True,False,40,7.032960771322827,0.03563562399995135,barrido q-log; q por deviance de bins
1.5,2.0,1000,1,20260926-0-0-0-1,50,pdf,1.5724625685917102,2.5319113426097943,True,False,50,7.032960771322827,0.06178201700004138,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,1,20260926-0-0-0-1,50,qlog,1.58,2.1652985451686857,True,False,50,7.032960771322827,0.031004270000266843,barrido q-log; q por deviance de bins
1.5,2.0,1000,1,20260926-0-0-0-1,60,pdf,1.5859201192494972,2.594180167751993,True,False,60,7.032960771322827,0.06880772399972557,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,1,20260926-0-0-0-1,60,qlog,1.58,2.116689891774446,True,False,60,7.032960771322827,0.027514762000009796,barrido q-log; q por deviance de bins
1.5,2.0,1000,1,20260926-0-0-0-1,70,pdf,1.5733843027596233,2.5392539052095335,True,False,70,7.032960771322827,0.04746602500017616,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,1,20260926-0-0-0-1,70,qlog,1.58,2.091092449863232,True,False,70,7.032960771322827,0.039155683999979374,barrido q-log; q por deviance de bins
1.5,2.0,1000,1,20260926-0-0-0-1,80,pdf,1.5778647652892135,2.5651210561663578,True,False,80,7.032960771322827,0.06495930199980648,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,1,20260926-0-0-0-1,80,qlog,1.58,2.079062396756212,True,False,80,7.032960771322827,0.03274892199988244,barrido q-log; q por deviance de bins
1.5,2.0,1000,1,20260926-0-0-0-1,90,pdf,1.574437460819515,2.550800701866749,True,False,88,7.032960771322827,0.04460340100013127,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,1,20260926-0-0-0-1,90,qlog,1.58,2.031434933716466,True,False,88,7.032960771322827,0.037181023999892204,barrido q-log; q por deviance de bins
1.5,2.0,1000,1,20260926-0-0-0-1,100,pdf,1.5793761070930645,2.567541927649066,True,False,98,7.032960771322827,0.06116663600005268,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.5,2.0,1000,1,20260926-0-0-0-1,100,qlog,1.58,1.9636031219229262,True,False,98,7.032960771322827,0.05007556800001112,barrido q-log; q por deviance de bins
1.5,2.0,1000,1,20260926-0-0-0-1,110,pdf,1.5796876324816604,2.5668882111911557,True,False,107,7.032960771322827,0.05370900499974596,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,1,20260926-0-0-0-1,110,qlog,1.58,1.9001637263219262,True,False,107,7.032960771322827,0.029315671999938786,barrido q-log; q por deviance de bins
1.5,2.0,1000,1,20260926-0-0-0-1,120,pdf,1.5842920189149052,2.590608545980701,True,False,115,7.032960771322827,0.081388177000008,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,1,20260926-0-0-0-1,120,qlog,1.58,1.7937757473090414,True,False,115,7.032960771322827,0.04324432600014916,barrido q-log; q por deviance de bins
1.5,2.0,1000,1,20260926-0-0-0-1,130,pdf,1.5829396842727534,2.582755140112366,True,False,124,7.032960771322827,0.059772467000129836,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,1,20260926-0-0-0-1,130,qlog,1.58,1.7373368775575313,True,False,124,7.032960771322827,0.050318699999934324,barrido q-log; q por deviance de bins
1.5,2.0,1000,1,20260926-0-0-0-1,140,pdf,1.5780716547169453,2.560616834648336,True,False,134,7.032960771322827,0.060572535999654065,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,1,20260926-0-0-0-1,140,qlog,1.58,1.8014168229662129,True,False,134,7.032960771322827,0.04885757299962279,barrido q-log; q por deviance de bins
1.5,2.0,1000,1,20260926-0-0-0-1,150,pdf,1.5836269853426324,2.5841202333639113,True,False,141,7.032960771322827,0.06301527100004023,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,1,20260926-0-0-0-1,150,qlog,1.58,1.7100825406552724,True,False,141,7.032960771322827,0.03268925600013972,barrido q-log; q por deviance de bins
1.5,2.0,1000,1,20260926-0-0-0-1,160,pdf,1.5791095825981927,2.569792270136351,True,False,149,7.032960771322827,0.0695995689998199,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,1,20260926-0-0-0-1,160,qlog,1.56,1.7098178224891836,True,False,149,7.032960771322827,0.049355780000041705,barrido q-log; q por deviance de bins
1.5,2.0,1000,1,20260926-0-0-0-1,170,pdf,1.583970423751109,2.5894546765612394,True,False,160,7.032960771322827,0.058369739999761805,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,1,20260926-0-0-0-1,170,qlog,1.56,1.649537539440779,True,False,160,7.032960771322827,0.0593568320000486,barrido q-log; q por deviance de bins
1.5,2.0,1000,1,20260926-0-0-0-1,180,pdf,1.5803875346222662,2.5719548231048353,True,False,164,7.032960771322827,0.06863223299978927,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,1,20260926-0-0-0-1,180,qlog,1.58,1.5941765876433909,True,False,164,7.032960771322827,0.039712642000267806,barrido q-log; q por deviance de bins
1.5,2.0,1000,1,20260926-0-0-0-1,190,pdf,1.5805654051177782,2.5701880689698338,True,False,175,7.032960771322827,0.06772759599971323,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,1,20260926-0-0-0-1,190,qlog,1.58,1.513044645643553,True,False,175,7.032960771322827,0.04194336000000476,barrido q-log; q por deviance de bins
1.5,2.0,1000,1,20260926-0-0-0-1,200,pdf,1.5827046974738828,2.5840487713906684,True,False,183,7.032960771322827,0.051456923999921855,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,1,20260926-0-0-0-1,200,qlog,1.56,1.5296897776212215,True,False,183,7.032960771322827,0.04259606200002963,barrido q-log; q por deviance de bins
1.5,2.0,1000,2,20260926-0-0-0-2,10,pdf,1.4077527356857087,1.6469040278019291,True,False,10,11.194767650629467,0.07162845299990295,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,2,20260926-0-0-0-2,10,qlog,1.9,1.552492261872189,True,False,10,11.194767650629467,0.027249737000147434,barrido q-log; q por deviance de bins
1.5,2.0,1000,2,20260926-0-0-0-2,20,pdf,1.5139105597965534,1.9759949613973755,True,False,20,11.194767650629467,0.03940208999983952,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,2,20260926-0-0-0-2,20,qlog,1.6,1.7150430510263521,True,False,20,11.194767650629467,0.02691403500011802,barrido q-log; q por deviance de bins
1.5,2.0,1000,2,20260926-0-0-0-2,30,pdf,1.492113205752288,1.8903754510633135,True,False,30,11.194767650629467,0.05302872499987643,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,2,20260926-0-0-0-2,30,qlog,1.52,1.644554742456914,True,False,30,11.194767650629467,0.0270568529999764,barrido q-log; q por deviance de bins
1.5,2.0,1000,2,20260926-0-0-0-2,40,pdf,1.502150341426402,1.9380588726454724,True,False,40,11.194767650629467,0.040996624999934284,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,2,20260926-0-0-0-2,40,qlog,1.52,1.7456064967326388,True,False,40,11.194767650629467,0.04426429900013318,barrido q-log; q por deviance de bins
1.5,2.0,1000,2,20260926-0-0-0-2,50,pdf,1.5013563629382494,1.9385797151891588,True,False,50,11.194767650629467,0.06007398000019748,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,2,20260926-0-0-0-2,50,qlog,1.5,1.6616028709972512,True,False,50,11.194767650629467,0.040969301000131964,barrido q-log; q por deviance de bins
1.5,2.0,1000,2,20260926-0-0-0-2,60,pdf,1.5096393779789816,1.959691737751751,True,False,59,11.194767650629467,0.04193374999977095,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.5,2.0,1000,2,20260926-0-0-0-2,60,qlog,1.52,1.656368577372951,True,False,59,11.194767650629467,0.030338889000177005,barrido q-log; q por deviance de bins
1.5,2.0,1000,2,20260926-0-0-0-2,70,pdf,1.500887158841689,1.9380610232426643,True,False,68,11.194767650629467,0.06257940500017867,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,2,20260926-0-0-0-2,70,qlog,1.52,1.7234155897181322,True,False,68,11.194767650629467,0.03134661900003266,barrido q-log; q por deviance de bins
1.5,2.0,1000,2,20260926-0-0-0-2,80,pdf,1.507000382812843,1.9582097291046794,True,False,77,11.194767650629467,0.04254828199964322,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
