q_true,b_true,mu_true,n,rep,method,q_hat,b_hat,success,at_bound,at_start,occupied_bins,objective,nfev,seconds,message
1.4,2.0,0.0,2000,54,mle,1.4598390547410158,2.210696679105774,True,False,False,39,2244.882405244025,33,0.002535868999984814,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.4,2.0,0.0,2000,54,qlog,1.6407650870831854,2.6359253300489534,True,False,False,39,0.9689964447559336,33,0.0037949590005155187,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,54,cdf,1.4962300132084616,2.3461105348848155,True,False,False,39,0.0002267492689158471,39,0.08854711299863993,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,55,pdf,1.2810644284441808,1.6496716632016633,True,False,False,25,0.8970742366505846,45,0.018172682999647805,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,55,mle,1.395591116663428,1.988539763829684,True,False,False,25,2195.8678294545152,36,0.0025001239991979674,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.4,2.0,0.0,2000,55,qlog,1.6933727637055112,2.5345291827249943,True,False,False,25,3.107333173901976,45,0.00650977899931604,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,55,cdf,1.3057222533879294,1.7190193604329187,True,False,False,25,3.247672870334429e-05,42,0.08076429500033555,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,56,pdf,1.4590600882258926,2.180898431976467,True,False,False,41,1.0360548703772743,30,0.003227066999897943,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,56,mle,1.426842430297734,2.012004172460752,True,False,False,41,2257.97180868462,39,0.002925524999227491,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.4,2.0,0.0,2000,56,qlog,1.575294813021817,2.304162567571255,True,False,False,41,0.8722327153232133,33,0.0038730209998902865,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,56,cdf,1.5169576515492935,2.369401989952723,True,False,False,41,4.38820789706271e-05,39,0.03567092399862304,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,57,pdf,1.3636853207378894,1.9046062876693046,True,False,False,28,1.2442127263782223,42,0.005100333999507711,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,57,mle,1.401785459690557,1.9611606023029806,True,False,False,28,2224.1454240961775,39,0.010367573000621633,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.4,2.0,0.0,2000,57,qlog,1.652928117708724,2.546481495992172,True,False,False,28,1.4088640385017732,36,0.02514296099980129,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,57,cdf,1.4285085525169308,2.0536267629530895,True,False,False,28,1.74280367060909e-05,15,0.0186673600001086,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,58,pdf,1.38717187601739,2.039473438346389,True,False,False,28,0.7508978864151,42,0.005118248000144376,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,58,mle,1.403578434953206,2.1042688818386757,True,False,False,28,2157.906198844396,36,0.003596147998905508,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.4,2.0,0.0,2000,58,qlog,1.5988585089126603,2.590119552413128,True,False,False,28,1.3616277800653658,36,0.00474408000081894,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,58,cdf,1.3458647631272647,1.9232113189324724,True,False,False,28,2.721832917582459e-05,36,0.09431105800103978,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,59,pdf,1.370282332573593,1.8248760619063087,True,False,False,37,0.6580295825385286,39,0.06534996499976842,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,59,mle,1.4147556118707818,1.971200710831796,True,False,False,37,2249.570266902605,36,0.0029052560003037797,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.4,2.0,0.0,2000,59,qlog,1.5540631156928766,2.239204616931297,True,False,False,37,0.9260061741776205,36,0.004995228000552743,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,59,cdf,1.3693759942111032,1.8320690346200275,True,False,False,37,4.9131140273930954e-05,39,0.03849262699986866,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,60,pdf,1.3855247656056444,2.030045670971163,True,False,False,41,0.6600586440089935,36,0.007200904999990598,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,60,mle,1.4019686096606196,2.0352031774476376,True,False,False,41,2187.513998032932,39,0.006676727000012761,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.4,2.0,0.0,2000,60,qlog,1.5897261235279105,2.4750742674238855,True,False,False,41,0.7319857705342231,36,0.004991248000806081,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,60,cdf,1.463726124404139,2.261125749370357,True,False,False,41,6.166286944023887e-05,33,0.04373674599992228,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,61,pdf,1.3407695875103063,1.7127940934845716,True,False,False,40,0.7451784168343811,39,0.0038427559993579052,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
1.4,2.0,0.0,2000,61,mle,1.3689531755033666,1.7609459636619629,True,False,False,40,2256.643996626366,39,0.003230612999686855,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
