q_true,b_true,mu_true,n,method,repetitions,valid,failures,at_bound,failure_rate,mean_occupied_bins,mean_seconds,total_seconds,bias_q,mcse_bias_q,sd_q,rmse_q,mcse_rmse_q,bias_b,mcse_bias_b,sd_b,rmse_b,mcse_rmse_b
1.4,2.0,0.0,100,cdf,100,100,0,17,0.0,39.6,0.015007137930001023,1.5007137930001022,-0.050603719842199205,0.02572161135785892,0.2572161135785892,0.2608817054825745,0.012243776186564892,0.18007327179990823,0.14157325326868891,1.4157325326868893,1.4200992927551501,0.17937081538598287
1.4,2.0,0.0,100,mle,100,100,0,5,0.0,39.6,0.0051103692899994255,0.5110369289999426,-0.04763620547986498,0.016166520473399677,0.16166520473399676,0.1677602161121288,0.011969486665620048,-0.033329729599299786,0.07416680557417916,0.7416680557417916,0.7387026876449644,0.0488283617502281
1.4,2.0,0.0,100,pdf,100,100,0,1,0.0,39.6,0.021739966840000305,2.1739966840000307,0.09733680867038967,0.020883892009641643,0.20883892009641644,0.22946026218869156,0.01686245409251574,0.45650803015619523,0.12918105581873315,1.2918105581873316,1.3639964643132005,0.19675984898429993
1.4,2.0,0.0,100,qlog,100,100,0,0,0.0,39.6,0.016295898680002665,1.6295898680002665,-0.08939999999999988,0.01580040914954196,0.1580040914954196,0.18085353189805273,0.011369638590581774,-1.0441005685956806,0.02927878735950613,0.2927878735950613,1.083980391371033,0.023781537859703675
1.4,2.0,0.0,2000,cdf,100,100,0,0,0.0,49.34,0.04793532224999979,4.7935322249999786,-0.002187618952096051,0.00545845953797073,0.0545845953797073,0.05435502689649109,0.005204895968046083,0.005751286201808674,0.02039075505157984,0.20390755051579842,0.2029669518881201,0.017755015002585584
1.4,2.0,0.0,2000,mle,100,100,0,0,0.0,49.34,0.006630135909998103,0.6630135909998103,0.0006119685790038742,0.003167149494709715,0.03167149494709715,0.031518681155845475,0.0020854293814290803,0.008535866270001025,0.015363289808827294,0.15363289808827293,0.15310093962556529,0.010267819531117531
1.4,2.0,0.0,2000,pdf,100,100,0,0,0.0,49.34,0.025493807830001172,2.5493807830001174,0.010554171860402852,0.0033930432609856065,0.033930432609856065,0.03537162787008796,0.002297447307417551,0.040075293761798324,0.015902116683508515,0.15902116683508516,0.16322035215214586,0.010988347382123976
1.4,2.0,0.0,2000,qlog,100,100,0,0,0.0,49.34,0.01758818723999923,1.758818723999923,0.01820000000000004,0.0035401877482598696,0.035401877482598695,0.03964845520319803,0.0027379017694503854,-0.09273625901905554,0.014458664714847292,0.1445866471484729,0.17116150059271504,0.011792183889674368
1.9,2.0,0.0,100,cdf,100,100,0,0,0.0,34.09,0.014669567219996224,1.4669567219996225,-0.008056114815184055,0.013122667426000347,0.13122667426000348,0.1308171877961114,0.00842007358944137,0.25134541796706833,0.11362311208142599,1.13623112081426,1.1581387945496002,0.14683481641956375
1.9,2.0,0.0,100,mle,100,100,0,0,0.0,34.09,0.00481125987000155,0.48112598700015496,-0.013165022290647907,0.009871674698871902,0.09871674698871902,0.09910027238402362,0.007457850070736691,0.15388649397681559,0.08138790748082468,0.8138790748082468,0.8242913380323107,0.07008761163936965
1.9,2.0,0.0,100,pdf,100,100,0,0,0.0,34.09,0.02050773595999715,2.050773595999715,0.06301142588151862,0.01125589978130736,0.1125589978130736,0.12850397853926074,0.009142268755769397,0.5790285064850518,0.12033023083247754,1.2033023083247754,1.3299364992697378,0.19647876709481368
1.9,2.0,0.0,100,qlog,100,100,0,0,0.0,34.09,0.014609848299999157,1.4609848299999157,-0.025999999999999898,0.014330866595350655,0.14330866595350655,0.14494136745594746,0.011788074307094734,-1.716892873051693,0.014637299152169245,0.14637299152169245,1.7230588903622057,0.014301911242043485
1.9,2.0,0.0,2000,cdf,100,100,0,0,0.0,49.22,0.04701945583999759,4.701945583999759,-0.005697188168286937,0.00320431085379438,0.0320431085379438,0.03238751533772807,0.0020410332730062854,-0.005752528543255793,0.02200163619760026,0.2200163619760026,0.2189890844914989,0.013354082087769309
1.9,2.0,0.0,2000,mle,100,100,0,0,0.0,49.22,0.006122154260003754,0.6122154260003754,-0.002722907485317254,0.0021479982726733517,0.02147998272673352,0.0215450687289449,0.001295827652139955,0.006388099501796021,0.017403652416333012,0.17403652416333013,0.17328194493561558,0.01250672179010046
1.9,2.0,0.0,2000,pdf,100,100,0,0,0.0,49.22,0.02390700757000559,2.390700757000559,0.0022150745136406,0.0022717691268489444,0.022717691268489444,0.0227120918610699,0.0012543264084426391,0.02919119024697209,0.018273667385298516,0.18273667385298514,0.18414909893664608,0.012531977665027097
1.9,2.0,0.0,2000,qlog,100,100,0,0,0.0,49.22,0.014128083810001045,1.4128083810001044,0.03940000000000003,0.0044897638911171964,0.04489763891117197,0.05956509044734177,0.008294299617638232,-0.4253615455423336,0.015109471364698746,0.15109471364698746,0.45114716090573725,0.01446169153246305
2.5,2.0,0.0,100,cdf,100,100,0,0,0.0,20.05,0.016613434510005617,1.6613434510005618,-0.0064300093333334064,0.0062934131593076845,0.06293413159307684,0.06294793793451635,0.005257407319188042,0.3783290520521513,0.16014798044173661,1.6014798044173661,1.637749388625683,0.2715182819805958
2.5,2.0,0.0,100,mle,100,100,0,0,0.0,20.05,0.006351602720000074,0.6351602720000074,-0.009047631704718263,0.005348567516560354,0.053485675165603534,0.053981199624549635,0.004564644886304059,0.31547572555726355,0.13293266446634744,1.3293266446634744,1.3597658505588417,0.2888230822789394
2.5,2.0,0.0,100,pdf,100,100,0,18,0.0,20.05,0.03692016327001056,3.692016327001056,0.03718813748267096,0.0071999951384452586,0.07199995138445259,0.08071623528634086,0.004817491145376423,12.785988184798164,1.8821743901992183,18.821743901992182,22.6759113805566,1.97218976921364
2.5,2.0,0.0,100,qlog,100,0,100,0,1.0,20.05,0.004555220930005817,0.45552209300058166,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.5,2.0,0.0,2000,cdf,100,100,0,0,0.0,47.26,0.053653578869999594,5.365357886999959,0.0010025774957243038,0.0012560514716130951,0.012560514716130951,0.012537704186561971,0.0008920284632718047,0.004351981805948038,0.027102024906183436,0.27102024906183436,0.2696968583301678,0.019219479812486045
2.5,2.0,0.0,2000,mle,100,100,0,0,0.0,47.26,0.006290118309998434,0.6290118309998434,0.0005293459822973778,0.001150421688484842,0.011504216884848421,0.011458784544674428,0.0009791204798785822,0.005238424086153868,0.027130529048411463,0.2713052904841146,0.26999617798244757,0.021542566856631393
2.5,2.0,0.0,2000,pdf,100,100,0,0,0.0,47.26,0.029453923050003824,2.9453923050003823,0.0039749286751053735,0.0018607312784398925,0.018607312784398925,0.018935940064809725,0.001252118601943042,0.3182739523859068,0.1029202027140061,1.029202027140061,1.0723630697249253,0.10532127215119343
2.5,2.0,0.0,2000,qlog,100,99,1,0,0.01,47.26,0.007129315580001503,0.7129315580001503,0.1290909090909092,0.0041141486997460525,0.040935262706358576,0.13536333448623505,0.004383135741854206,-1.734393229554454,0.020128898654920853,0.2002800128443859,1.7458026193439555,0.018407083847951245
