q_true,b_true,mu_true,n,rep,method,q_hat,b_hat,success,at_bound,occupied_bins,max_abs_x,objective,nfev,seconds,message
2.5,2.0,0.0,100,45,mle,2.488270523331235,1.6931616166704775,True,False,20,2870040.2659790274,474.97987059443335,102,0.004376715000034892,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2.5,2.0,0.0,100,45,qlog,nan,nan,False,False,20,2870040.2659790274,nan,0,0.004073927000035837,ningun candidato q-log valido
2.5,2.0,0.0,100,45,cdf,2.470644891520688,1.5712044334377506,True,False,20,2870040.2659790274,0.0005227313675272357,108,0.01247459399996842,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2.5,2.0,0.0,100,46,pdf,2.6873997310421225,25.944948701835816,True,False,18,192619.35864748486,34.64346247355994,267,0.06665496300001905,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2.5,2.0,0.0,100,46,mle,2.5537125002529364,2.0444040151229452,True,False,18,192619.35864748486,535.3518033879704,120,0.004333389000066745,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2.5,2.0,0.0,100,46,qlog,nan,nan,False,False,18,192619.35864748486,nan,0,0.0036396009999180023,ningun candidato q-log valido
2.5,2.0,0.0,100,46,cdf,2.548165959916465,1.8336351862534888,True,False,18,192619.35864748486,0.0009310235519443609,117,0.012635517000035179,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2.5,2.0,0.0,100,47,pdf,2.515203966983048,3.2308176927511068,True,False,27,472370.879060052,54.79341364279538,162,0.04871856099998695,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2.5,2.0,0.0,100,47,mle,2.4954532843948334,3.405488081298534,True,False,27,472370.879060052,446.88548650240364,123,0.006822880999948211,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2.5,2.0,0.0,100,47,qlog,nan,nan,False,False,27,472370.879060052,nan,0,0.0040411770000901015,ningun candidato q-log valido
2.5,2.0,0.0,100,47,cdf,2.5562686265762595,5.826084124816826,True,False,27,472370.879060052,0.003836674856974654,129,0.01540430100010326,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2.5,2.0,0.0,100,48,pdf,2.555102635333779,3.017966726312413,True,False,15,186920570.3224402,50.603576307065545,174,0.03217669000002843,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2.5,2.0,0.0,100,48,mle,2.529114678210715,2.079700956451922,True,False,15,186920570.3224402,506.1679915911843,105,0.006063665000056062,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2.5,2.0,0.0,100,48,qlog,nan,nan,False,False,15,186920570.3224402,nan,0,0.004071082999985265,ningun candidato q-log valido
2.5,2.0,0.0,100,48,cdf,2.4985172671584372,1.513487885176877,True,False,15,186920570.3224402,0.001496039951350617,105,0.039102726999999504,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
2.5,2.0,0.0,100,49,pdf,2.5006306629896575,0.9387149343110929,True,False,19,244643.5704647662,44.4097700093342,102,0.01971302200001901,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
