q_true,b_true,n,bins,method,repetitions,valid,failures,failure_rate,at_bound,mean_occupied_bins,mean_q_hat,median_q_hat,bias_q,mcse_bias_q,sd_q,rmse_q,mcse_rmse_q,mean_b_hat,bias_b,mcse_bias_b,sd_b,rmse_b,mcse_rmse_b,mean_seconds
1.5,2.0,1000,20,pdf,10,10,0,0.0,0,20.0,1.5158333462587361,1.5088677505348684,0.015833346258736135,0.018485929607437418,0.05845764222504457,0.05767374788245703,0.01231414310018949,2.075655927442307,0.0756559274423074,0.08354360700981195,0.2641880820970148,0.26180074065411807,0.054723269885619076,0.06368138069999532
1.5,2.0,1000,20,qlog,10,10,0,0.0,0,20.0,1.586,1.6,0.08600000000000008,0.016343534229508364,0.051682793182171526,0.09899494936611673,0.013364758884669481,1.7777776073875367,-0.222222392612463,0.07264907019457034,0.22973653170829428,0.3112615915586569,0.046016619810625346,0.032562664699980814
1.5,2.0,1000,30,pdf,10,10,0,0.0,0,29.6,1.5110164073747034,1.498089994177826,0.011016407374703507,0.01570937488176987,0.049677405243831144,0.04839856778902927,0.011665771433439913,2.051549552311862,0.05154955231186211,0.07872279432817664,0.248943333850023,0.24172890076505335,0.07327067342020682,0.08575670500001706
1.5,2.0,1000,30,qlog,10,10,0,0.0,0,29.6,1.5379999999999998,1.54,0.038000000000000034,0.012092238098144715,0.0382390143992,0.05253570214625484,0.011636607238337291,1.7834203875123156,-0.21657961248768434,0.061105630389684876,0.19323296989180652,0.2837460328061038,0.029911048787818337,0.03264140880000923
1.5,2.0,1000,40,pdf,10,10,0,0.0,0,39.5,1.515717656029026,1.5080998642199157,0.015717656029025907,0.015794736227690984,0.04994734152107939,0.04992302017674593,0.011864821070280373,2.071412734385199,0.0714127343851989,0.07651426088384626,0.24195933787728233,0.24039481629141377,0.0599852313306064,0.07040493699998933
1.5,2.0,1000,40,qlog,10,10,0,0.0,0,39.5,1.53,1.53,0.030000000000000027,0.013743685418725546,0.043461349368017696,0.05099019513592789,0.010046898573200146,1.8251032293287104,-0.17489677067128967,0.058784569001072304,0.18589312931471758,0.2483737312298186,0.042209101497111615,0.03489399059999414
1.5,2.0,1000,50,pdf,10,10,0,0.0,0,49.1,1.514352615316719,1.5083578710886165,0.014352615316718897,0.015436780002728974,0.04881538454756381,0.048483452415268365,0.011464056101327908,2.0635223604519712,0.06352236045197102,0.07730200259012947,0.24445039587704465,0.24044851157241462,0.05779543314489297,0.10395578220000061
1.5,2.0,1000,50,qlog,10,10,0,0.0,0,49.1,1.5240000000000002,1.52,0.02400000000000002,0.01359738536958077,0.04299870799092564,0.047328638264796975,0.011076931556094986,1.8011641274494348,-0.19883587255056498,0.05851678728643046,0.1850463291807041,0.265242594169701,0.03788243304695123,0.0332924875000117
1.5,2.0,1000,70,pdf,10,10,0,0.0,0,67.9,1.51721673475544,1.505859653472539,0.017216734755439812,0.01429774690087617,0.045213445615382396,0.04621954190180596,0.012755600467445324,2.0757417454073672,0.07574174540736707,0.07344898875500586,0.23226609630191353,0.23300128227018665,0.062094665171847224,0.10144951620000028
1.5,2.0,1000,70,qlog,10,10,0,0.0,0,67.9,1.528,1.52,0.028000000000000025,0.012364824660660948,0.03910100879630718,0.046475800154489044,0.011352924243950945,1.7354065763399007,-0.26459342366009936,0.056899795411411505,0.17993295189765787,0.3148776910244947,0.045395737248084954,0.03367975030002981
1.5,2.0,1000,100,pdf,10,10,0,0.0,0,95.7,1.5192398351219052,1.5105552557909672,0.0192398351219051,0.015140678890747605,0.04787903061599411,0.049328821909434085,0.013229187332876346,2.0815519000119003,0.0815519000119006,0.07809056511206576,0.2469440495238098,0.2480603548156115,0.06435266022252732,0.11849787119997472
1.5,2.0,1000,100,qlog,10,10,0,0.0,0,95.7,1.5279999999999998,1.53,0.028000000000000025,0.014360439485692024,0.04541169697580378,0.05138093031466056,0.008189670754719458,1.6232598197592125,-0.37674018024078737,0.058110927562160214,0.1837628880414822,0.41512056384509866,0.053898300770213944,0.034241039800031105
1.5,2.0,1000,150,pdf,10,10,0,0.0,0,138.2,1.5192955104710386,1.5131947982622846,0.019295510471038523,0.014859303411849573,0.046989243224955686,0.04857475481468328,0.012538930986963131,2.0835049651044137,0.08350496510441359,0.076495293054251,0.24189935633349133,0.24420656815939862,0.06845743210093275,0.11204151349998029
1.5,2.0,1000,150,qlog,10,10,0,0.0,0,138.2,1.5340000000000003,1.54,0.03400000000000003,0.01367885635245547,0.04325634186002226,0.05329165037789696,0.009485183239951763,1.457381280173729,-0.5426187198262712,0.05253084830489807,0.16611712806427315,0.5650402510605693,0.05131369268710821,0.040231619900032455
1.5,2.0,1000,200,pdf,10,10,0,0.0,0,179.6,1.5193031955818976,1.5099962126783941,0.01930319558189768,0.015241255133585744,0.04819708062186483,0.04963140217741665,0.012995906262431857,2.0821199417804026,0.08211994178040219,0.07824022087512954,0.24741730260006184,0.24867141834420406,0.0675672623158764,0.1156008054999802
