q_true,b_true,n,rep,seed,bins,method,q_hat,b_hat,success,at_bound,occupied_bins,max_abs_x,seconds,message
1.5,2.0,1000,1,20260926-0-0-0-1,150,pdf,1.5836269853426324,2.5841202333639113,True,False,141,7.032960771322827,0.06821020500001396,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,1,20260926-0-0-0-1,150,qlog,1.58,1.7100825406552724,True,False,141,7.032960771322827,0.03507644599994819,barrido q-log; q por deviance de bins
1.5,2.0,1000,1,20260926-0-0-0-1,200,pdf,1.5827046974738828,2.5840487713906684,True,False,183,7.032960771322827,0.07334428399985882,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,1,20260926-0-0-0-1,200,qlog,1.56,1.5296897776212215,True,False,183,7.032960771322827,0.03852351699993051,barrido q-log; q por deviance de bins
1.5,2.0,1000,2,20260926-0-0-0-2,20,pdf,1.5139105597965534,1.9759949613973755,True,False,20,11.194767650629467,0.03358927899989794,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,2,20260926-0-0-0-2,20,qlog,1.6,1.7150430510263521,True,False,20,11.194767650629467,0.034892074000026696,barrido q-log; q por deviance de bins
1.5,2.0,1000,2,20260926-0-0-0-2,30,pdf,1.492113205752288,1.8903754510633135,True,False,30,11.194767650629467,0.044397695000043313,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,2,20260926-0-0-0-2,30,qlog,1.52,1.644554742456914,True,False,30,11.194767650629467,0.024854651999930866,barrido q-log; q por deviance de bins
1.5,2.0,1000,2,20260926-0-0-0-2,40,pdf,1.502150341426402,1.9380588726454724,True,False,40,11.194767650629467,0.05085628899996664,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,2,20260926-0-0-0-2,40,qlog,1.52,1.7456064967326388,True,False,40,11.194767650629467,0.027948130999902787,barrido q-log; q por deviance de bins
1.5,2.0,1000,2,20260926-0-0-0-2,50,pdf,1.5013563629382494,1.9385797151891588,True,False,50,11.194767650629467,0.05270802399991226,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,2,20260926-0-0-0-2,50,qlog,1.5,1.6616028709972512,True,False,50,11.194767650629467,0.029347743000016635,barrido q-log; q por deviance de bins
1.5,2.0,1000,2,20260926-0-0-0-2,70,pdf,1.500887158841689,1.9380610232426643,True,False,68,11.194767650629467,0.08106263199988462,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,2,20260926-0-0-0-2,70,qlog,1.52,1.7234155897181322,True,False,68,11.194767650629467,0.03173313100000996,barrido q-log; q por deviance de bins
1.5,2.0,1000,2,20260926-0-0-0-2,100,pdf,1.5031076081910375,1.9463577677467028,True,False,96,11.194767650629467,0.07215897099990798,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
1.5,2.0,1000,2,20260926-0-0-0-2,100,qlog,1.52,1.5765605717027151,True,False,96,11.194767650629467,0.034707436999951824,barrido q-log; q por deviance de bins
